,eventid,iyear,imonth,iday,country,country_txt,region,region_txt,city,latitude,longitude,success,attacktype1,attacktype1_txt,targtype1,targtype1_txt,natlty1,natlty1_txt,weaptype1,weaptype1_txt,weapdetail,nkill,nkillus,nwound,nwoundus,location
22433,198407000001,1984,7,0,159,Peru,3,South America,Arcac,-15.11,-72.136667,1,2,Armed Assault,14,Private Citizens & Property,159.0,Peru,5,Firearms,Firearm,40.0,,0.0,,
22443,198407020008,1984,7,2,145,Nicaragua,2,Central America & Caribbean,El Tortuguero,12.821660000000001,-84.203876,1,2,Armed Assault,14,Private Citizens & Property,145.0,Nicaragua,5,Firearms,Automatic firearm,51.0,,0.0,,
22466,198407040010,1984,7,4,61,El Salvador,2,Central America & Caribbean,Santa Clara,13.702620999999999,-88.727772,1,2,Armed Assault,4,Military,61.0,El Salvador,5,Firearms,Automatic firearm,16.0,,0.0,,
22485,198407050016,1984,7,5,159,Peru,3,South America,Chichuas,-15.534444,-72.94555600000001,1,2,Armed Assault,14,Private Citizens & Property,159.0,Peru,13,Unknown,Attacked; Machete; Rifle; Spears,27.0,,7.0,,
22523,198407070015,1984,7,7,145,Nicaragua,2,Central America & Caribbean,Unknown,13.839445999999999,-83.93208100000001,1,2,Armed Assault,4,Military,145.0,Nicaragua,5,Firearms,Automatic firearm,20.0,,0.0,,
22524,198407070016,1984,7,7,145,Nicaragua,2,Central America & Caribbean,El Tortuguero,12.821660000000001,-84.203876,1,2,Armed Assault,14,Private Citizens & Property,145.0,Nicaragua,5,Firearms,Automatic firearm,180.0,,0.0,,
22526,198407070018,1984,7,7,159,Peru,3,South America,Chilcas,-13.183608,-73.90623599999999,1,2,Armed Assault,14,Private Citizens & Property,159.0,Peru,9,Melee,Machete; Rifle; Dynamite,36.0,,0.0,,
22549,198407110007,1984,7,11,159,Peru,3,South America,Tambo,-12.948146000000001,-74.020842,1,2,Armed Assault,14,Private Citizens & Property,159.0,Peru,5,Firearms,Firearm,20.0,,0.0,,
22555,198407110013,1984,7,11,159,Peru,3,South America,Rosario,-12.597099,-73.83087900000001,1,2,Armed Assault,14,Private Citizens & Property,159.0,Peru,5,Firearms,Automatic firearm,25.0,,0.0,,
22624,198407140005,1984,7,14,61,El Salvador,2,Central America & Caribbean,San Antonio Grande,14.051282,-89.232393,1,3,Bombing/Explosion,19,Transportation,61.0,El Salvador,6,Explosives,Dynamite; Automatic rifles,31.0,,0.0,,
22628,198407150004,1984,7,15,159,Peru,3,South America,Santa Rosa,-15.155555999999999,-73.98138900000001,1,9,Unknown,14,Private Citizens & Property,159.0,Peru,13,Unknown,Attacked,100.0,,0.0,,
22640,198407160010,1984,7,16,159,Peru,3,South America,San Jose de Ticllas district,-13.123889000000002,-74.321111,1,9,Unknown,14,Private Citizens & Property,159.0,Peru,13,Unknown,,20.0,,0.0,,
22669,198407180007,1984,7,18,159,Peru,3,South America,Sanata Rosa,-6.875967999999999,-79.922097,1,2,Armed Assault,4,Military,159.0,Peru,5,Firearms,Automatic firearm,18.0,,0.0,,
22683,198407200008,1984,7,20,159,Peru,3,South America,Anchihuay,-13.026337,-73.73679399999999,1,2,Armed Assault,14,Private Citizens & Property,159.0,Peru,5,Firearms,Automatic firearm,30.0,,0.0,,
22691,198407220004,1984,7,22,83,Guatemala,2,Central America & Caribbean,Los Angeles,14.691723000000001,-92.121798,1,3,Bombing/Explosion,4,Military,83.0,Guatemala,6,Explosives,Explosive; Claymore mine; Automatic firearm,13.0,,0.0,,
22692,198407220005,1984,7,22,145,Nicaragua,2,Central America & Caribbean,El Cairo,11.06667,-85.1,1,2,Armed Assault,4,Military,145.0,Nicaragua,5,Firearms,Automatic firearm,21.0,,16.0,,
22709,198407250004,1984,7,25,145,Nicaragua,2,Central America & Caribbean,Matiguas,12.83543,-85.462486,1,2,Armed Assault,4,Military,145.0,Nicaragua,5,Firearms,Automatic firearm,40.0,,0.0,,
22710,198407250005,1984,7,25,145,Nicaragua,2,Central America & Caribbean,Quilali,13.564251,-86.02984000000001,1,2,Armed Assault,4,Military,145.0,Nicaragua,5,Firearms,Automatic firearm,12.0,,0.0,,
22737,198407270016,1984,7,27,159,Peru,3,South America,Lima,-11.967367999999999,-76.978462,1,9,Unknown,3,Police,159.0,Peru,13,Unknown,Surprise attack,22.0,,15.0,,
22767,198407290011,1984,7,29,61,El Salvador,2,Central America & Caribbean,Unknown,13.8359,-88.347538,1,2,Armed Assault,4,Military,61.0,El Salvador,5,Firearms,Automatic firearm,16.0,,0.0,,
22768,198407290012,1984,7,29,159,Peru,3,South America,Ayacucho,-13.152712,-74.21862800000001,1,2,Armed Assault,3,Police,159.0,Peru,5,Firearms,Automatic firearm,19.0,,25.0,,
22769,198407290013,1984,7,29,159,Peru,3,South America,Santa Rosa,-6.875967999999999,-79.922097,1,2,Armed Assault,15,Religious Figures/Institutions,159.0,Peru,5,Firearms,Firearm,20.0,,40.0,,
22774,198407300005,1984,7,30,61,El Salvador,2,Central America & Caribbean,San Pablo Tacachico,13.975556,-89.34,1,2,Armed Assault,3,Police,61.0,El Salvador,5,Firearms,Automatic firearm,51.0,,12.0,,
22790,198408020003,1984,8,2,92,India,6,South Asia,Chennai,13.08268,80.270718,1,3,Bombing/Explosion,6,Airports & Aircraft,92.0,India,6,Explosives,Explosive,31.0,,19.0,,
22799,198408040005,1984,8,4,159,Peru,3,South America,Anco,-13.116609,-73.690409,1,2,Armed Assault,4,Military,159.0,Peru,5,Firearms,Automatic firearm,17.0,,0.0,,
22850,198408080009,1984,8,8,61,El Salvador,2,Central America & Caribbean,Tejutla,14.169630999999999,-89.102686,1,2,Armed Assault,4,Military,61.0,El Salvador,5,Firearms,Automatic firearm,16.0,,0.0,,
22851,198408080010,1984,8,8,61,El Salvador,2,Central America & Caribbean,Unknown,14.191664999999999,-89.1706,1,2,Armed Assault,4,Military,61.0,El Salvador,5,Firearms,Automatic firearm,15.0,,0.0,,
22856,198408080015,1984,8,8,159,Peru,3,South America,Sachabamba,-13.465035999999998,-74.10044599999999,1,2,Armed Assault,14,Private Citizens & Property,159.0,Peru,5,Firearms,Automatic firearm; Knives,26.0,,0.0,,
22857,198408080016,1984,8,8,159,Peru,3,South America,Vilcanchos,-13.610792000000002,-74.532225,1,2,Armed Assault,14,Private Citizens & Property,159.0,Peru,5,Firearms,Automatic firearm,25.0,,0.0,,
22887,198408110002,1984,8,11,186,Sri Lanka,6,South Asia,Jaffna,9.666399,80.020477,1,3,Bombing/Explosion,3,Police,186.0,Sri Lanka,6,Explosives,Bomb - timed,19.0,,0.0,,
22891,198408110006,1984,8,11,159,Peru,3,South America,Hualla,-13.849845000000002,-73.950661,1,9,Unknown,3,Police,159.0,Peru,13,Unknown,Attacked,26.0,,0.0,,
22892,198408110007,1984,8,11,45,Colombia,3,South America,Yumbo,3.5837480000000004,-76.495727,1,3,Bombing/Explosion,14,Private Citizens & Property,45.0,Colombia,13,Unknown,Raid; Seized; Explosives; Automatic firearm,17.0,,22.0,,
22922,198408140013,1984,8,14,61,El Salvador,2,Central America & Caribbean,Santiago de Maria,13.483332999999998,-88.466667,1,2,Armed Assault,4,Military,61.0,El Salvador,5,Firearms,Automatic firearm,12.0,,20.0,,
22924,198408140015,1984,8,14,159,Peru,3,South America,Huaylas,-8.872222,-77.89361099999999,1,2,Armed Assault,4,Military,159.0,Peru,5,Firearms,Automatic firearm,25.0,,0.0,,
22925,198408140016,1984,8,14,159,Peru,3,South America,Huancavelica,-12.787148,-74.97320699999999,1,2,Armed Assault,19,Transportation,159.0,Peru,5,Firearms,Automatic firearm,11.0,,1.0,,
22964,198408180005,1984,8,18,61,El Salvador,2,Central America & Caribbean,Anamoros,13.745556,-87.873611,1,2,Armed Assault,4,Military,61.0,El Salvador,5,Firearms,Automatic firearm,12.0,,0.0,,
22974,198408200004,1984,8,20,145,Nicaragua,2,Central America & Caribbean,Waslala district,13.364485,-85.29338,1,2,Armed Assault,4,Military,145.0,Nicaragua,5,Firearms,Automatic firearm,250.0,,0.0,,
22975,198408200005,1984,8,20,159,Peru,3,South America,Cayara,-13.796667000000001,-73.988056,1,2,Armed Assault,14,Private Citizens & Property,159.0,Peru,5,Firearms,Automatic firearm; Surprise attack,12.0,,0.0,,
22993,198408220004,1984,8,22,45,Colombia,3,South America,Betoyes,6.49249,-71.55696,1,2,Armed Assault,3,Police,45.0,Colombia,5,Firearms,Automatic firearm,11.0,,25.0,,
22996,198408230002,1984,8,23,94,Iran,10,Middle East & North Africa,Tehran,35.724533,51.405190000000005,1,3,Bombing/Explosion,1,Business,94.0,Iran,6,Explosives,Explosive,18.0,,300.0,,
23033,198408250019,1984,8,25,145,Nicaragua,2,Central America & Caribbean,Las Tejas,12.90875,-85.951531,1,2,Armed Assault,4,Military,145.0,Nicaragua,5,Firearms,Automatic firearm,12.0,,0.0,,
23062,198408270006,1984,8,27,159,Peru,3,South America,Pampacancha,-9.204422000000001,-77.618887,1,2,Armed Assault,14,Private Citizens & Property,159.0,Peru,5,Firearms,Automatic firearm,40.0,,14.0,,
23090,198408280016,1984,8,28,145,Nicaragua,2,Central America & Caribbean,Rio Blanco district,12.931506,-85.223777,1,2,Armed Assault,4,Military,145.0,Nicaragua,5,Firearms,Automatic firearm,30.0,,0.0,,
23138,198409000030,1984,9,0,159,Peru,3,South America,Santa Rosa,-6.875967999999999,-79.922097,1,2,Armed Assault,14,Private Citizens & Property,159.0,Peru,9,Melee,Knives; Submachine gun,16.0,,10.0,,
23143,198409010003,1984,9,1,145,Nicaragua,2,Central America & Caribbean,Santa Clara,13.7067,-86.25782,1,2,Armed Assault,4,Military,145.0,Nicaragua,5,Firearms,Automatic firearm,23.0,,0.0,,
23144,198409010004,1984,9,1,145,Nicaragua,2,Central America & Caribbean,Rio Escondido,12.710919,-87.023859,1,2,Armed Assault,4,Military,145.0,Nicaragua,5,Firearms,Automatic firearm,50.0,,0.0,,
23152,198409020007,1984,9,2,159,Peru,3,South America,Misquibamba,-13.062171000000001,-73.94203399999999,1,2,Armed Assault,14,Private Citizens & Property,159.0,Peru,5,Firearms,Automatic firearm,15.0,,0.0,,
23161,198409030009,1984,9,3,61,El Salvador,2,Central America & Caribbean,Unknown,14.191664999999999,-89.1706,1,2,Armed Assault,4,Military,61.0,El Salvador,5,Firearms,Automatic firearm,28.0,,50.0,,
23165,198409030013,1984,9,3,159,Peru,3,South America,Progreso,-14.074916,-72.47429699999999,1,2,Armed Assault,4,Military,159.0,Peru,5,Firearms,Automatic firearm,22.0,,0.0,,
23166,198409030014,1984,9,3,159,Peru,3,South America,Challhuamayo,-12.882061,-74.020372,1,7,Facility/Infrastructure Attack,14,Private Citizens & Property,159.0,Peru,5,Firearms,Automatic firearm; Incendiary,50.0,,0.0,,
23228,198409080003,1984,9,8,145,Nicaragua,2,Central America & Caribbean,La Cruz de Rio Grande,13.112743,-84.186071,1,2,Armed Assault,4,Military,145.0,Nicaragua,5,Firearms,Automatic firearm,16.0,,0.0,,
23238,198409100004,1984,9,10,159,Peru,3,South America,Pacocro,-12.983333,-74.18333299999999,1,2,Armed Assault,14,Private Citizens & Property,159.0,Peru,5,Firearms,Automatic firearm,17.0,,9.0,,
23240,198409110002,1984,9,11,186,Sri Lanka,6,South Asia,Colombo,6.941837,79.861687,1,2,Armed Assault,19,Transportation,186.0,Sri Lanka,5,Firearms,Firearm,16.0,,5.0,,
23245,198409110007,1984,9,11,145,Nicaragua,2,Central America & Caribbean,Jinotega district,13.130707000000001,-85.971684,1,2,Armed Assault,4,Military,145.0,Nicaragua,5,Firearms,Automatic firearm,12.0,,0.0,,
23248,198409110010,1984,9,11,145,Nicaragua,2,Central America & Caribbean,Siuna,13.611277,-84.866885,1,3,Bombing/Explosion,21,Utilities,145.0,Nicaragua,5,Firearms,Automatic firearm; Explosive,46.0,,0.0,,
23249,198409110011,1984,9,11,145,Nicaragua,2,Central America & Caribbean,Santa Cruz,13.837589999999999,-86.13571,1,2,Armed Assault,4,Military,145.0,Nicaragua,5,Firearms,Automatic firearm,20.0,,0.0,,
23259,198409120006,1984,9,12,92,India,6,South Asia,Batala,31.8186,75.2028,1,4,Hijacking,19,Transportation,92.0,India,5,Firearms,Pistol,14.0,,0.0,,
23269,198409130005,1984,9,13,159,Peru,3,South America,Pampana,-13.75,-72.55,1,2,Armed Assault,14,Private Citizens & Property,159.0,Peru,5,Firearms,Automatic firearm,16.0,,0.0,,
23270,198409130006,1984,9,13,159,Peru,3,South America,Ayacucho district,-14.31884,-74.378173,1,2,Armed Assault,4,Military,159.0,Peru,5,Firearms,Automatic firearm,34.0,,0.0,,
23283,198409160002,1984,9,16,145,Nicaragua,2,Central America & Caribbean,Wiwili,13.62679,-85.8254,1,2,Armed Assault,4,Military,145.0,Nicaragua,5,Firearms,Automatic firearm,93.0,,0.0,,
23284,198409160003,1984,9,16,159,Peru,3,South America,Santa Rosa,-6.875967999999999,-79.922097,1,2,Armed Assault,14,Private Citizens & Property,159.0,Peru,5,Firearms,Automatic firearm,16.0,,10.0,,
23291,198409170006,1984,9,17,159,Peru,3,South America,Chaca,-12.784314,-74.20545899999999,1,3,Bombing/Explosion,14,Private Citizens & Property,159.0,Peru,5,Firearms,Firearm; Explosive; Sharp weapons,15.0,,0.0,,
23309,198409200004,1984,9,20,110,Lebanon,10,Middle East & North Africa,Beirut,33.888523,35.503513,1,3,Bombing/Explosion,7,Government (Diplomatic),217.0,United States,6,Explosives,Explosive,23.0,2.0,68.0,18.0,
23312,198409200007,1984,9,20,159,Peru,3,South America,Chacas,-9.162686,-77.366179,1,2,Armed Assault,14,Private Citizens & Property,159.0,Peru,5,Firearms,Automatic firearm,15.0,,0.0,,
23352,198409250010,1984,9,25,159,Peru,3,South America,Sivia,-12.511974,-73.859078,1,2,Armed Assault,4,Military,159.0,Peru,5,Firearms,Automatic firearm,20.0,,0.0,,
23354,198409250012,1984,9,25,159,Peru,3,South America,Choquecancha,-13.036812,-72.03570500000001,1,2,Armed Assault,14,Private Citizens & Property,159.0,Peru,5,Firearms,Automatic firearm,19.0,,0.0,,
23366,198409260012,1984,9,26,159,Peru,3,South America,Ayacucho district,-14.31884,-74.378173,1,2,Armed Assault,4,Military,159.0,Peru,5,Firearms,Automatic firearm,30.0,,0.0,,
23398,198409300002,1984,9,30,159,Peru,3,South America,Lircay,-12.989709,-74.7205,1,2,Armed Assault,14,Private Citizens & Property,159.0,Peru,5,Firearms,Automatic firearm,16.0,,0.0,,
23470,198410100010,1984,10,10,145,Nicaragua,2,Central America & Caribbean,San Rafael del Norte,13.217591,-86.109773,1,2,Armed Assault,1,Business,145.0,Nicaragua,5,Firearms,Automatic firearm,12.0,,5.0,,
23504,198410160005,1984,10,16,159,Peru,3,South America,Ayacucho district,-14.31884,-74.378173,1,2,Armed Assault,14,Private Citizens & Property,159.0,Peru,5,Firearms,Automatic firearm,11.0,,0.0,,
23525,198410170012,1984,10,17,159,Peru,3,South America,Huanta district,-12.939782000000001,-74.247478,1,2,Armed Assault,4,Military,159.0,Peru,5,Firearms,Automatic firearm,20.0,0.0,0.0,0.0,
23530,198410190003,1984,10,19,65,Ethiopia,11,Sub-Saharan Africa,Lalibela,12.030552,39.046849,1,5,Hostage Taking (Barricade Incident),14,Private Citizens & Property,65.0,Ethiopia,13,Unknown,,200.0,,200.0,,
23550,198410220009,1984,10,22,145,Nicaragua,2,Central America & Caribbean,Lago de Apanas,13.16888,-85.97565,1,2,Armed Assault,1,Business,145.0,Nicaragua,5,Firearms,Automatic firearm,12.0,,0.0,,
23559,198410230007,1984,10,23,145,Nicaragua,2,Central America & Caribbean,Cerro El Devisadero,13.403316,-86.692347,1,2,Armed Assault,4,Military,145.0,Nicaragua,5,Firearms,Automatic firearm,35.0,,0.0,,
23566,198410230014,1984,10,23,61,El Salvador,2,Central America & Caribbean,Joateca,13.892710000000001,-88.043983,1,3,Bombing/Explosion,4,Military,61.0,El Salvador,6,Explosives,Rocket,14.0,,0.0,,
23577,198410260004,1984,10,26,145,Nicaragua,2,Central America & Caribbean,Tola,11.43857,-85.93697399999999,1,2,Armed Assault,4,Military,145.0,Nicaragua,5,Firearms,Automatic firearm,80.0,,0.0,,
23598,198410280011,1984,10,28,61,El Salvador,2,Central America & Caribbean,Zapote,13.712987,-90.031502,1,2,Armed Assault,4,Military,61.0,El Salvador,5,Firearms,Automatic firearm,13.0,,0.0,,
23602,198410280015,1984,10,28,61,El Salvador,2,Central America & Caribbean,Unknown,13.6,-88.85,1,2,Armed Assault,4,Military,61.0,El Salvador,5,Firearms,Automatic firearm,11.0,,7.0,,
23629,198410300006,1984,10,30,145,Nicaragua,2,Central America & Caribbean,Haulover,14.233737,-83.538859,1,2,Armed Assault,14,Private Citizens & Property,145.0,Nicaragua,5,Firearms,Automatic firearm,21.0,,0.0,,
23656,198411030006,1984,11,3,160,Philippines,5,Southeast Asia,Lianga,8.633052000000001,126.09583500000001,1,3,Bombing/Explosion,4,Military,160.0,Philippines,6,Explosives,Grenades; Molotov cocktail; Automatic firearms,58.0,,21.0,,
23673,198411050011,1984,11,5,145,Nicaragua,2,Central America & Caribbean,Cerro El Corozo,13.316667,-85.3,1,2,Armed Assault,4,Military,145.0,Nicaragua,5,Firearms,Automatic firearm,111.0,,19.0,,
23681,198411060007,1984,11,6,61,El Salvador,2,Central America & Caribbean,Gotera,13.7,-88.1,1,2,Armed Assault,16,Telecommunication,61.0,El Salvador,5,Firearms,Automatic firearm,12.0,,18.0,,
23682,198411060008,1984,11,6,145,Nicaragua,2,Central America & Caribbean,Ciudad Antigua,13.617045000000001,-86.278529,1,2,Armed Assault,4,Military,145.0,Nicaragua,5,Firearms,Automatic firearm,32.0,,0.0,,
23694,198411080002,1984,11,8,61,El Salvador,2,Central America & Caribbean,San Miguel,13.491242000000002,-88.17313399999999,1,2,Armed Assault,4,Military,61.0,El Salvador,5,Firearms,Automatic firearm,12.0,,0.0,,
23700,198411090004,1984,11,9,61,El Salvador,2,Central America & Caribbean,Suchitoto,13.933732000000001,-89.025836,1,2,Armed Assault,14,Private Citizens & Property,61.0,El Salvador,5,Firearms,Automatic firearm,80.0,,32.0,,
23709,198411100008,1984,11,10,145,Nicaragua,2,Central America & Caribbean,Rio Blanco district,12.931506,-85.223777,1,2,Armed Assault,4,Military,145.0,Nicaragua,5,Firearms,Automatic firearm,30.0,,0.0,,
23713,198411110004,1984,11,11,145,Nicaragua,2,Central America & Caribbean,El Tigre,11.13685,-85.354451,1,2,Armed Assault,4,Military,145.0,Nicaragua,5,Firearms,Automatic firearm,63.0,,0.0,,
23720,198411120003,1984,11,12,159,Peru,3,South America,Sivia,-12.511974,-73.859078,1,2,Armed Assault,4,Military,159.0,Peru,5,Firearms,Automatic firearm,15.0,,0.0,,
23743,198411130022,1984,11,13,159,Peru,3,South America,Unknown,-9.32505,-77.561942,1,2,Armed Assault,3,Police,159.0,Peru,5,Firearms,Automatic firearm,12.0,,0.0,,
23744,198411130023,1984,11,13,159,Peru,3,South America,Lima,-11.967367999999999,-76.978462,1,2,Armed Assault,14,Private Citizens & Property,159.0,Peru,5,Firearms,Automatic firearm,20.0,,0.0,,
23746,198411130025,1984,11,13,61,El Salvador,2,Central America & Caribbean,San Agustin,13.432039999999999,-88.592239,1,2,Armed Assault,4,Military,61.0,El Salvador,5,Firearms,Automatic firearm,25.0,,0.0,,
23769,198411160005,1984,11,16,145,Nicaragua,2,Central America & Caribbean,Jinotega district,13.130707000000001,-85.971684,1,7,Facility/Infrastructure Attack,1,Business,145.0,Nicaragua,5,Firearms,Automatic firearm,12.0,,0.0,,
23779,198411170008,1984,11,17,159,Peru,3,South America,Tingo Maria,-9.297478,-75.996312,1,2,Armed Assault,2,Government (General),159.0,Peru,5,Firearms,Automatic firearm,15.0,,3.0,,
23781,198411170010,1984,11,17,159,Peru,3,South America,Monzon,-9.214953,-76.213001,1,2,Armed Assault,2,Government (General),159.0,Peru,5,Firearms,Automatic firearm,20.0,,0.0,,
23791,198411190003,1984,11,19,83,Guatemala,2,Central America & Caribbean,Sumal,15.519717000000002,-91.188243,1,6,Hostage Taking (Kidnapping),4,Military,83.0,Guatemala,5,Firearms,Automatic firearm,12.0,,0.0,,
23797,198411200002,1984,11,20,186,Sri Lanka,6,South Asia,Chavakachcheri,9.659069,80.131693,1,3,Bombing/Explosion,3,Police,186.0,Sri Lanka,6,Explosives,Bomb; Automatic firearm,29.0,,0.0,,
23872,198411300001,1984,11,30,186,Sri Lanka,6,South Asia,Welioya,8.964041,80.787941,1,3,Bombing/Explosion,3,Police,186.0,Sri Lanka,5,Firearms,Rifles; Submachine gun; Grenades,74.0,,17.0,,
23873,198411300002,1984,11,30,186,Sri Lanka,6,South Asia,Welioya,8.964041,80.787941,1,3,Bombing/Explosion,3,Police,186.0,Sri Lanka,5,Firearms,Rifles; Submachine gun; Grenades,74.0,,17.0,,
23879,198412000005,1984,12,0,186,Sri Lanka,6,South Asia,Vavuniya district,8.753956,80.501687,1,9,Unknown,4,Military,186.0,Sri Lanka,13,Unknown,,21.0,,0.0,,
23882,198412010004,1984,12,1,186,Sri Lanka,6,South Asia,Mullaitiva district,9.267091,80.81424799999999,1,9,Unknown,14,Private Citizens & Property,186.0,Sri Lanka,13,Unknown,,67.0,,0.0,,
23883,198412010006,1984,12,1,186,Sri Lanka,6,South Asia,Kokkilai,8.9984,80.951865,1,2,Armed Assault,14,Private Citizens & Property,186.0,Sri Lanka,5,Firearms,,11.0,0.0,0.0,0.0,
23894,198412030005,1984,12,3,145,Nicaragua,2,Central America & Caribbean,Pericon,13.50363,-86.20454000000001,1,3,Bombing/Explosion,1,Business,145.0,Nicaragua,5,Firearms,Automatic firearm; Rocket,29.0,,0.0,,
23895,198412030006,1984,12,3,145,Nicaragua,2,Central America & Caribbean,La Trinidad,12.96589,-86.23140699999999,1,2,Armed Assault,4,Military,145.0,Nicaragua,5,Firearms,Automatic firearm,35.0,,0.0,,
23907,198412050008,1984,12,5,145,Nicaragua,2,Central America & Caribbean,San Juan del Norte,10.944955,-83.737732,1,2,Armed Assault,4,Military,145.0,Nicaragua,5,Firearms,Automatic firearm,22.0,,13.0,,
23909,198412060002,1984,12,6,186,Sri Lanka,6,South Asia,Cheddikulam,8.665596,80.296238,1,9,Unknown,19,Transportation,186.0,Sri Lanka,13,Unknown,,17.0,,0.0,,
23931,198412100003,1984,12,10,61,El Salvador,2,Central America & Caribbean,Nueva Concepcion,14.124579999999998,-89.293171,1,2,Armed Assault,4,Military,61.0,El Salvador,5,Firearms,Automatic firearm,13.0,,0.0,,
23940,198412110003,1984,12,11,160,Philippines,5,Southeast Asia,Unknown,7.447972999999999,125.81000900000001,1,9,Unknown,4,Military,160.0,Philippines,13,Unknown,Ambushed,12.0,,0.0,,
23966,198412160002,1984,12,16,159,Peru,3,South America,Lima,-11.967367999999999,-76.978462,1,2,Armed Assault,14,Private Citizens & Property,159.0,Peru,5,Firearms,Automatic firearm,13.0,,0.0,,
24015,198412230001,1984,12,23,98,Italy,8,Western Europe,Florence,43.768732,11.256901,1,3,Bombing/Explosion,19,Transportation,98.0,Italy,6,Explosives,Explosive,15.0,,112.0,,
24024,198412250003,1984,12,25,159,Peru,3,South America,Pampa Coris,-12.518417999999999,-74.37365799999999,1,2,Armed Assault,14,Private Citizens & Property,159.0,Peru,5,Firearms,Automatic firearm,15.0,,0.0,,
24037,198412270003,1984,12,27,159,Peru,3,South America,Palca,-17.777883,-69.95950699999999,1,2,Armed Assault,14,Private Citizens & Property,159.0,Peru,5,Firearms,Automatic firearm,50.0,,0.0,,
24054,198412290007,1984,12,29,8,Angola,11,Sub-Saharan Africa,Cafunvo,-7.61837,15.721794000000001,1,9,Unknown,14,Private Citizens & Property,8.0,Angola,13,Unknown,Attacked,130.0,,0.0,,
24092,198501010007,1985,1,1,159,Peru,3,South America,Huarhua,-15.188188,-72.96430600000001,1,2,Armed Assault,14,Private Citizens & Property,159.0,Peru,5,Firearms,Automatic firearm,30.0,,0.0,,
24114,198501020019,1985,1,2,159,Peru,3,South America,Pampa Coris,-12.518417999999999,-74.37365799999999,1,2,Armed Assault,14,Private Citizens & Property,159.0,Peru,5,Firearms,Automatic firearm,21.0,,0.0,,
24147,198501080007,1985,1,8,61,El Salvador,2,Central America & Caribbean,San Pedro,13.664223000000002,-88.660622,1,2,Armed Assault,4,Military,61.0,El Salvador,5,Firearms,Automatic firearm,45.0,,0.0,,
24156,198501100005,1985,1,10,145,Nicaragua,2,Central America & Caribbean,La Bodega,13.934120000000002,-84.59281,1,2,Armed Assault,4,Military,145.0,Nicaragua,5,Firearms,Automatic firearm,12.0,,0.0,,
24160,198501100009,1985,1,10,145,Nicaragua,2,Central America & Caribbean,Santa Maria,13.746389,-86.709722,1,2,Armed Assault,4,Military,145.0,Nicaragua,5,Firearms,Automatic firearm,34.0,,9.0,,
24163,198501110003,1985,1,11,145,Nicaragua,2,Central America & Caribbean,San Juan de Limay,13.174407999999998,-86.612595,1,2,Armed Assault,4,Military,145.0,Nicaragua,5,Firearms,Automatic firearm,59.0,,12.0,,
24164,198501110004,1985,1,11,145,Nicaragua,2,Central America & Caribbean,Wiwili,13.62679,-85.8254,1,2,Armed Assault,4,Military,145.0,Nicaragua,5,Firearms,Automatic firearm,94.0,,0.0,,
24231,198501180004,1985,1,18,83,Guatemala,2,Central America & Caribbean,Bicalama,15.511667000000001,-91.21972199999999,1,2,Armed Assault,4,Military,83.0,Guatemala,5,Firearms,Automatic firearm,11.0,,6.0,,
24268,198501260004,1985,1,26,83,Guatemala,2,Central America & Caribbean,Sumal,15.519717000000002,-91.188243,1,2,Armed Assault,4,Military,83.0,Guatemala,5,Firearms,Automatic firearm,12.0,,0.0,,
24321,198502030006,1985,2,3,145,Nicaragua,2,Central America & Caribbean,El Coyolito,12.684095,-86.212746,1,2,Armed Assault,4,Military,145.0,Nicaragua,5,Firearms,Automatic firearm,18.0,,0.0,,
24322,198502030007,1985,2,3,159,Peru,3,South America,Carhuamayo,-10.920784,-76.059497,1,2,Armed Assault,14,Private Citizens & Property,159.0,Peru,5,Firearms,Automatic firearm,18.0,,0.0,,
24326,198502050001,1985,2,5,110,Lebanon,10,Middle East & North Africa,Tyre,33.266151,35.214058,1,3,Bombing/Explosion,4,Military,97.0,Israel,6,Explosives,Car bomb,12.0,,60.0,,
24368,198502100002,1985,2,10,110,Lebanon,10,Middle East & North Africa,Tripoli,34.438094,35.830837,1,3,Bombing/Explosion,17,Terrorists/Non-State Militia,110.0,Lebanon,6,Explosives,Explosive,75.0,,20.0,,
24404,198502130002,1985,2,13,145,Nicaragua,2,Central America & Caribbean,El Ventarron,12.136647,-86.25076700000001,1,2,Armed Assault,4,Military,145.0,Nicaragua,5,Firearms,Automatic firearm,23.0,,0.0,,
24409,198502140005,1985,2,14,160,Philippines,5,Southeast Asia,Manila,14.596051000000001,120.97866599999999,1,7,Facility/Infrastructure Attack,1,Business,160.0,Philippines,8,Incendiary,Arson,30.0,5.0,0.0,,
24417,198502160001,1985,2,16,159,Peru,3,South America,Pichari,-12.520278,-73.828056,1,2,Armed Assault,3,Police,159.0,Peru,5,Firearms,Automatic firearm,13.0,,3.0,,
24418,198502170001,1985,2,17,145,Nicaragua,2,Central America & Caribbean,San Jose de Cusmapa,13.28841,-86.6554,1,2,Armed Assault,4,Military,145.0,Nicaragua,5,Firearms,Automatic firearm,18.0,,0.0,,
24425,198502190003,1985,2,19,159,Peru,3,South America,Pataz,-7.785833,-77.593333,1,2,Armed Assault,3,Police,159.0,Peru,5,Firearms,Automatic firearm,14.0,,5.0,,
24459,198502220006,1985,2,22,159,Peru,3,South America,Tocache,-8.18885,-76.510838,1,2,Armed Assault,4,Military,159.0,Peru,5,Firearms,Automatic firearm,37.0,,0.0,,
